distance: 156.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:51:56
distance: 153.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:51:56
distance: 851.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:52:30
distance: 153.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:52:30
distance: 145.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:53:5
distance: 127.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:53:5
distance: 125.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:53:39
distance: 121.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:53:39
distance: 136.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:54:10
distance: 99.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:54:10
distance: 160.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:54:10
distance: 174.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:54:10
distance: 139.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:55:19
distance: 8191.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:55:19
distance: 138.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:55:53
distance: 938.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:55:53
distance: 152.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:56:29
distance: 152.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:56:29
distance: 155.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:57:3
distance: 194.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:57:3
distance: 855.00mm, lat: 23.74, log: 90.41, time: 23-8-2023, 17:57:3
